epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,880.911,0.18768,0.99432,1,0.03646,0.000475834,0.000475834,0.000475834
2,1745.09,0.03994,0.9877,1,0.03332,0.000857903,0.000857903,0.000857903
3,2609.45,0.02981,0.99338,1,0.03608,0.00114566,0.00114566,0.00114566
4,3474.13,0.02194,0.99432,1,0.01279,0.00100459,0.00100459,0.00100459
5,4338.15,0.01476,0.99432,1,0.01092,0.000863116,0.000863116,0.000863116
6,5202.49,0.01311,0.99811,1,0.00528,0.000721645,0.000721645,0.000721645
7,6072.59,0.00707,0.99811,1,0.00486,0.000580174,0.000580174,0.000580174
8,6933.68,0.00421,0.99811,1,0.00892,0.000438703,0.000438703,0.000438703
9,7804.51,0.00654,0.99811,1,0.00845,0.000297232,0.000297232,0.000297232
10,8680.35,0.00333,0.99716,1,0.00817,0.000155761,0.000155761,0.000155761
